SNAME,SEINetName,county,institutionCode,identifiedBy,collector,collectionNumber,eventDate,year,modified,habitat,substrate,verbatimAttributes,occurrenceRemarks,associatedTaxa,reproductiveCondition,locality,locationRemarks,decimalLatitude,decimalLongitude,verbatimCoordinates,geodeticDatum,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,references,SEINet_id,occurrenceID,catalogNumber,accessionNumber,SEINetName_binomial,SEINetName_tri_shift,institutionCode_CNHP,textName,institutionCount,Unnamed: 3,iNatName,gbifID,otherCatalogNumbers,iNatName_binomial,iNatName_tri_shift,SFID,EOID,Descriptor,Locator,FeatureType,UncertType,UncertDist,DistanceUnit,DigiCom,MapCom,DigiBase,RepAcc,CValue2020,GELEMENTID,SELEMENTID,ELCODE,MAJORGROUP,GNAME,GCOMNAME,SCOMNAME,GRANK,SRANK,RNDGRANK,TRACK,INACTIVE,TRACKCOM,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,ECOSCALE,AQDEP,ENDEMISM,TRACKJUST,ELSENSJUST,GLOBALSSEQID,CLASSIFICATIONSTATUS,ORIGIN
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,54589,7/24/2001,2001,2/6/2013 11:09,Old beaver ponds.,,,,,flowering,"North-central Colorado: Park Range: head of Harrison Creek, ca 2 air mi E of Walton Peak, ca 3 air mi SW of Rabbit Ears Pass; ca 13 air mi SE of Steamboat Springs.",,40.3628,-106.6628,"40.3628° N, 106.6628° W; uncertainty 1 mi.; T5N R83W S25 S1/2",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1471169,1471169,,762790,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,55322,8/7/2001,2001,2/6/2013 11:09,Mud flats in old beaver ponds.,,,,,flowering,"North-central Colorado: Park Range: on Green Ridge along upper Lawson Creek and Forest Road 285, ca 5 air mi ENE of Yampa; ca 8 air mi SE of Phippsburg.",,40.1717,-106.8205,"40.1717° N, 106.8205° W; uncertainty 1 mi.; T2N R84W S4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1471983,1471983,,762786,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,54968,7/31/2001,2001,2/6/2013 11:09,Gravel bars.,,,,,flowering,"North-central Colorado: Park Range: along Middle Fork Little Snake River just N of Crane Park, ca 6.5 air mi NNE of Columbine; ca 32 air mi N of Steamboat Springs.",,40.9382,-106.9299,"40.9382° N, 106.9299° W; uncertainty 0.5 mi.; T11N R85W S4 NE1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1471590,1471590,,762787,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,49991,6/28/2000,2000,2/6/2013 11:09,Sandbars and wet creek bottom.,,,,,flowering,"North-central Colorado: Medicine Bow Mountains: along South Fork Canadian River ca 1/4 - 1/2 mi S of the confluence, ca 6 air mi N of Gould; ca 16 air mi SE of Walden.",,40.6189,-106.0176,"40.6189° N, 106.0176° W; uncertainty 0.5 mi.; T8N R77W S34 SW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1466078,1466078,,757842,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,51598,8/7/2000,2000,2/6/2013 11:09,"Meadows, sandbars, and willow thickets along the creek.",,,,,flowering,"North-central Colorado: Park Range: along King Solomon Creek ca 2 air mi NW of Little Red Park, ca 4 air mi NNE of Columbine; ca 30 air mi N of Steamboat Springs.",,40.9097,-106.9305,"40.9097° N, 106.9305° W; T11N R85W S16 SW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1466677,1466677,,757840,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,51553,8/7/2000,2000,2/6/2013 11:09,Stream bottom with willows in aspen forest.,,,,,flowering,"North-central Colorado: Park Range: along Bedrock Creek ca 2 air mi NE of Shield Mountain, ca 7 air mi NW of Columbine; ca 33.5 air mi NNW of Steamboat Springs.",,40.9384,-107.0251,"40.9384° N, 107.0251° W; T11N R86W S3 NW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1466627,1466627,,757841,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,Ronald L. Hartman,67965,7/10/2000,2000,2/6/2013 11:09,Meadows and streamside.,,,,,flowering,"North-central Colorado: Elkhead Mountains: First Creek, ca 4 air mi S of California Park Guard Station.",,40.7373,-107.1575,"40.7373° N, 107.1575° W; T9N R87W S16; also S21 and S22",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1468001,1468001,,757813,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,52096,9/6/2000,2000,2/6/2013 11:09,Stream bank and edge of a willow marsh.,,,,,flowering,"North-central Colorado: Rabbit Ears Range: along Middle Fork Arapaho Creek on Forest Road 700, ca 1.5 air mi W of Arapaho Ridge, ca 10.5 air mi SW of Rand; ca 24 air mi S of Walden.",,40.3872,-106.3585,"40.3872° N, 106.3585° W; T5N R80W S22 SE1/4; also SW1/4 S23",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1467232,1467232,,757837,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,51715,8/8/2000,2000,2/6/2013 11:09,Meadows along the stream and old beaver ponds.,,,,,flowering,"North-central Colorado: Elkhead Mountains: near the head of Elkhead Creek at the north end of California Park, ca 1.5 air mi E of Saddle Mountain; ca 22.5 air mi NE of Hayden.",,40.8091,-107.1386,"40.8091° N, 107.1386° W; uncertainty 0.5 mi.; T10N R87W S22 SE1/4; also SW1/4 S23",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1466809,1466809,,757838,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,51686,8/8/2000,2000,2/6/2013 11:09,"Bench, slopes, and sandbars along the creek.",,,,,flowering,"North-central Colorado: Elkhead Mountains: along Slater Creek in the western part of Slater Park, ca 2.5 air mi SE of Columbus Mountain; ca 25 air mi NNE of Hayden.",,40.8522,-107.1575,"40.8522° N, 107.1575° W; T10N R87W S4 SW1/4; also NW1/4 S9",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1466776,1466776,,757839,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,52186,9/6/2000,2000,2/6/2013 11:09,In overflow channel.,,,,,flowering,"North-central Colorado: North Park: along Colo Hwy 125 just N of the Canadian River, ca 1/3 mi N of Cowdrey; ca 9.5 air mi N of Walden.",,40.8647,-106.3074,"40.8647° N, 106.3074° W; T10N R79W S6 W1/2",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1467333,1467333,,757835,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,52128,9/6/2000,2000,2/6/2013 11:09,On the draw down bank of the reservoir.,,,,,flowering and fruiting,"North-central Colorado: Rabbit Ears Range: Slack-Weiss Reservoir, ca 2 air mi NW of the north end of Arapaho Ridge, ca 10 air mi W of Rand; ca 20.5 air mi S of Walden.",,40.4306,-106.3585,"40.4306° N, 106.3585° W; T5N R80W S3 NW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1467267,1467267,,757836,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Abronia nana var. nana,Abronia nana var. nana,Mesa,RM,,Robert D. Dorn,10041,5/26/2005,2005,5/15/2018 16:07,"Barren gypsum hill with Ericameria nauseosa, Cryptantha paradoxa.",,,,,flowering,Sinbad Valley.,,38.536667,-109.01,"38° 32.2' N, 109° 0.6' W; unknown, , GPS reading",unknown,,GPS reading,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1519762,1519762,,784707,,Abronia nana,Abronia nana,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,9,7117,23875,PDNYC010H3,Vascular Plants,Abronia nana var. nana,Dwarf Sand-verbena,Dwarf Sand Verbena,G4T3T4,S1,T3,Y,N,,,,,N,LOCAL,N,N: No (the element is not endemic),"meets minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,141746,1,Native
Abronia nana,Abronia nana,Mesa,RM,,Robert D. Dorn,4888,5/19/1988,1988,7/27/2019 23:34,Barren steep yellowish outcrop of gypsum with Eriogonum and Gilia haydenii.,,,,,flowering and fruiting,Sinbad Valley: 11 mi S of Gateway.,,38.5077,-108.9817,"38.5077° N, 108.9817° W; NAD 83, uncertainty 0.25 mi., Nat. Geog. TOPO!; T49N R19W S9 E1/2 NE1/4 SE1/4",NAD 83,,Nat. Geog. TOPO!,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1519806,1519806,,530870,,Abronia nana,Abronia nana,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,,551,419414,PDNYC010H0,Vascular Plants,Abronia nana,Dwarf Sand-verbena,Dwarf Sand Verbena,G4,S1,G4,N,N,Tracked as var.,,,,N,LOCAL,N,N: No (the element is not endemic),"meets minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,140110,1,Native
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Larimer,RM,,C. S. Crandall,3455,1896-07-02,1896,3/19/2009 16:04,,,,,,flowering and fruiting,Barnes Camp.,,40.6335,-105.5269,"40.6335° N, 105.5269° W; uncertainty 2 mi.; T8N R73W S25; also S36",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1490959,1490959,,47289,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,Betsy E. Neely,5186,7/6/1988,1988,3/19/2009 16:04,Small dry kettle pond.,,,,,fruiting,N of Lone Pine Creek.,,40.7487,-106.5527,"40.7487° N, 106.5527° W; uncertainty 1 mi.; T9N R82W S13",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1489575,1489575,,540711,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Larimer,RM,,Betsy E. Neely,3580,6/25/1986,1986,3/19/2009 16:04,Upper drainage bottom dominated by Sabina scopulorum.,,,,,fruiting,North Fork of the Cache La Poudre River: major drainage; 0.5 mi NW of confluence.,,40.8503,-105.2957,"40.8503° N, 105.2957° W; uncertainty 1 mi.; T10N R71W S12",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1489468,1489468,,540835,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
